team,conference,ncaa_id,rating,rd,volatility,wins,losses
A&M-Corpus Christi,Southland,505566,1500,600,0.06,0.0,0.0
Abilene Christian,Southland,505571,1500,600,0.06,0.0,0.0
Air Force,MWC,505515,1500,600,0.06,0.0,0.0
Akron,MAC,505572,1500,600,0.06,0.0,0.0
Alabama,SEC,505575,1500,600,0.06,0.0,0.0
Alabama A&M,SWAC,505573,1500,600,0.06,0.0,0.0
Alabama St.,SWAC,505574,1500,600,0.06,0.0,0.0
Albany (NY),Am. East,505577,1500,600,0.06,0.0,0.0
Alcorn,SWAC,505578,1500,600,0.06,0.0,0.0
American,Patriot,505579,1500,600,0.06,0.0,0.0
Appalachian St.,Sunbelt,505580,1500,600,0.06,0.0,0.0
Arizona,Pac 12,505582,1500,600,0.06,0.0,0.0
Arizona St.,Pac 12,505581,1500,600,0.06,0.0,0.0
Ark.-Pine Bluff,SWAC,505557,1500,600,0.06,0.0,0.0
Arkansas,SEC,505584,1500,600,0.06,0.0,0.0
Arkansas St.,Sunbelt,505583,1500,600,0.06,0.0,0.0
Army West Point,Patriot,505516,1500,600,0.06,0.0,0.0
Auburn,SEC,505586,1500,600,0.06,0.0,0.0
Austin Peay,OVC,505587,1500,600,0.06,0.0,0.0
Ball St.,MAC,505588,1500,600,0.06,0.0,0.0
Baylor,Big 12,505590,1500,600,0.06,0.0,0.0
Bellarmine,A-Sun,505877,1500,600,0.06,0.0,0.0
Belmont,OVC,505564,1500,600,0.06,0.0,0.0
Bethune-Cookman,MEAC,505591,1500,600,0.06,0.0,0.0
Binghamton,Am. East,505592,1500,600,0.06,0.0,0.0
Boise St.,MWC,505593,1500,600,0.06,0.0,0.0
Boston College,ACC,505594,1500,600,0.06,0.0,0.0
Boston U.,Patriot,505595,1500,600,0.06,0.0,0.0
Bowling Green,MAC,505596,1500,600,0.06,0.0,0.0
Bradley,MVC,505597,1500,600,0.06,0.0,0.0
Brown,Ivy,505599,1500,600,0.06,0.0,0.0
Bryant,NEC,505600,1500,600,0.06,0.0,0.0
Bucknell,Patriot,505601,1500,600,0.06,0.0,0.0
Buffalo,MAC,505602,1500,600,0.06,0.0,0.0
Butler,Big East,505603,1500,600,0.06,0.0,0.0
BYU,WCC,505598,1500,600,0.06,0.0,0.0
