id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
262432117,2006,1,regular,2006-08-31T18:00:00.000Z,,False,False,25418.0,3786.0,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,24.0,3.0,0.0,7.0,14.0,,103,Boston College,ACC,31.0,3.0,14.0,0.0,14.0,,
262432393,2006,1,regular,2006-08-31T19:00:00.000Z,,False,True,20058.0,3725.0,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,7.0,0.0,7.0,0.0,0.0,,2229,Florida International,Sun Belt,6.0,6.0,0.0,0.0,0.0,,
262430202,2006,1,regular,2006-08-31T19:00:00.000Z,,False,False,23308.0,,,202,Tulsa,Conference USA,45.0,14.0,17.0,7.0,7.0,,2617,Stephen F. Austin,,7.0,0.0,0.0,0.0,7.0,,
262432084,2006,1,regular,2006-08-31T19:00:00.000Z,,False,False,29795.0,3965.0,UB Stadium,2084,Buffalo,Mid-American,9.0,0.0,0.0,0.0,3.0,,218,Temple,FBS Independents,3.0,0.0,0.0,0.0,3.0,,
262432309,2006,1,regular,2006-08-31T19:30:00.000Z,,False,False,20126.0,3696.0,Dix Stadium,2309,Kent State,Mid-American,0.0,0.0,0.0,0.0,0.0,,135,Minnesota,Big Ten,44.0,14.0,3.0,21.0,6.0,,
262432050,2006,1,regular,2006-08-31T19:30:00.000Z,,False,True,12326.0,3919.0,Scheumann Stadium,2050,Ball State,Mid-American,38.0,0.0,17.0,14.0,7.0,,2199,Eastern Michigan,Mid-American,20.0,7.0,6.0,0.0,7.0,,
262430193,2006,1,regular,2006-08-31T19:30:00.000Z,,False,False,20476.0,3996.0,Yager Stadium,193,Miami (OH),Mid-American,3.0,0.0,0.0,3.0,0.0,,77,Northwestern,Big Ten,21.0,0.0,0.0,14.0,7.0,,
262430041,2006,1,regular,2006-08-31T19:30:00.000Z,,False,False,36227.0,3892.0,Rentschler Field,41,Connecticut,Big East,52.0,10.0,21.0,7.0,14.0,,227,Rhode Island,,7.0,0.0,7.0,0.0,0.0,,
262430066,2006,1,regular,2006-08-31T20:00:00.000Z,,False,False,42531.0,3772.0,Jack Trice Stadium,66,Iowa State,Big 12,45.0,7.0,7.0,6.0,3.0,,2649,Toledo,Mid-American,43.0,0.0,8.0,7.0,8.0,,
262430344,2006,1,regular,2006-08-31T20:00:00.000Z,,False,True,50277.0,3693.0,Davis Wade Stadium,344,Mississippi State,SEC,0.0,0.0,0.0,0.0,0.0,,2579,South Carolina,SEC,15.0,0.0,3.0,3.0,9.0,,
262432433,2006,1,regular,2006-08-31T20:00:00.000Z,,False,False,18106.0,3817.0,Malone Stadium,2433,Louisiana Monroe,Sun Belt,24.0,7.0,3.0,0.0,14.0,,2016,Alcorn State,,6.0,3.0,0.0,3.0,0.0,,
262430166,2006,1,regular,2006-08-31T21:00:00.000Z,,False,False,15561.0,3601.0,Aggie Memorial Stadium,166,New Mexico State,Western Athletic,30.0,14.0,9.0,7.0,0.0,,2545,Southeastern Louisiana,,15.0,12.0,3.0,0.0,0.0,,
262430068,2006,1,regular,2006-08-31T21:00:00.000Z,,False,False,29674.0,3653.0,Albertsons Stadium,68,Boise State,Western Athletic,45.0,21.0,14.0,3.0,7.0,,16,Sacramento State,,0.0,0.0,0.0,0.0,0.0,,
262430009,2006,1,regular,2006-08-31T22:00:00.000Z,,False,False,53540.0,3947.0,Sun Devil Stadium,9,Arizona State,Pac-10,35.0,0.0,14.0,0.0,21.0,,2464,Northern Arizona,,14.0,7.0,7.0,0.0,0.0,,
262430204,2006,1,regular,2006-08-31T22:00:00.000Z,,False,False,38071.0,3893.0,Reser Stadium,204,Oregon State,Pac-10,56.0,21.0,21.0,7.0,7.0,,331,Eastern Washington,,17.0,0.0,7.0,3.0,7.0,,
262430021,2006,1,regular,2006-08-31T22:30:00.000Z,,False,False,34723.0,3932.0,Qualcomm Stadium,21,San Diego State,Mountain West,27.0,3.0,0.0,7.0,17.0,,2638,UTEP,Conference USA,34.0,0.0,14.0,13.0,7.0,,
262440278,2006,1,regular,2006-09-01T20:00:00.000Z,,False,True,39269.0,3660.0,Bulldog Stadium,278,Fresno State,Western Athletic,28.0,7.0,7.0,7.0,7.0,,2440,Nevada,Western Athletic,19.0,0.0,6.0,6.0,7.0,,
262450130,2006,1,regular,2006-09-02T12:00:00.000Z,,False,False,109668.0,3558.0,Michigan Stadium,130,Michigan,Big Ten,27.0,10.0,3.0,7.0,7.0,,238,Vanderbilt,SEC,7.0,0.0,7.0,0.0,0.0,,
262450251,2006,1,regular,2006-09-02T12:00:00.000Z,,False,False,85123.0,3910.0,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,56.0,14.0,14.0,14.0,14.0,,249,North Texas,Sun Belt,7.0,0.0,0.0,7.0,0.0,,
262450127,2006,1,regular,2006-09-02T12:00:00.000Z,,False,False,70711.0,3936.0,Spartan Stadium,127,Michigan State,Big Ten,27.0,7.0,10.0,0.0,10.0,,70,Idaho,Western Athletic,17.0,3.0,0.0,7.0,7.0,,
262452294,2006,1,regular,2006-09-02T12:03:00.000Z,,False,False,70585.0,3793.0,Kinnick Stadium,2294,Iowa,Big Ten,41.0,7.0,10.0,7.0,17.0,,149,Montana,,7.0,0.0,0.0,7.0,0.0,,
262450061,2006,1,regular,2006-09-02T12:30:00.000Z,,False,False,92746.0,3917.0,Sanford Stadium,61,Georgia,SEC,48.0,17.0,14.0,3.0,14.0,,98,Western Kentucky,,12.0,0.0,7.0,0.0,5.0,,
262452509,2006,1,regular,2006-09-02T13:00:00.000Z,,False,False,50108.0,3907.0,Ross-Ade Stadium,2509,Purdue,Big Ten,60.0,23.0,3.0,14.0,20.0,,282,Indiana State,,35.0,7.0,14.0,7.0,7.0,,
262450259,2006,1,regular,2006-09-02T13:30:00.000Z,,False,False,66233.0,3799.0,Lane Stadium,259,Virginia Tech,ACC,38.0,21.0,7.0,7.0,3.0,,111,Northeastern,,0.0,0.0,0.0,0.0,0.0,,
262452483,2006,1,regular,2006-09-02T15:30:00.000Z,,False,True,58450.0,3626.0,Autzen Stadium,2483,Oregon,Pac-10,48.0,3.0,24.0,7.0,14.0,,24,Stanford,Pac-10,10.0,3.0,7.0,0.0,0.0,,
262450194,2006,1,regular,2006-09-02T15:30:00.000Z,,False,False,103896.0,3861.0,Ohio Stadium,194,Ohio State,Big Ten,35.0,21.0,7.0,0.0,7.0,,2459,Northern Illinois,Mid-American,12.0,0.0,3.0,3.0,6.0,,
262450158,2006,1,regular,2006-09-02T15:30:00.000Z,,False,False,85181.0,3834.0,Memorial Stadium,158,Nebraska,Big 12,49.0,7.0,14.0,7.0,21.0,,2348,Louisiana Tech,Western Athletic,10.0,0.0,10.0,0.0,0.0,,
262450264,2006,1,regular,2006-09-02T15:30:00.000Z,,False,False,52256.0,3765.0,Husky Stadium,264,Washington,Pac-10,35.0,7.0,14.0,7.0,7.0,,23,San José State,Western Athletic,29.0,6.0,3.0,6.0,14.0,,
262450038,2006,1,regular,2006-09-02T15:30:00.000Z,,False,False,45513.0,3726.0,Folsom Field,38,Colorado,Big 12,10.0,3.0,7.0,0.0,0.0,,147,Montana State,,19.0,3.0,3.0,7.0,6.0,,
