school,id,division,conference,rating,rd,volatility,wins,losses
Air Force,2005,Mountain,Mountain West,1400.5162849008643,69.89100360691513,0.05994507431008428,3.0,3.0
Akron,2006,East,Mid-American,565.1090432021858,97.2171283672364,0.05997735081898923,1.0,5.0
Alabama,333,West,SEC,3252.3238605909464,144.3259821701233,0.059980845310242885,13.0,0.0
Appalachian State,2026,,Sun Belt,1584.890844771199,81.90216932779789,0.059972148251569095,9.0,3.0
Arizona,12,South,Pac-12,798.3507075969701,121.20312654039745,0.05998926302739318,0.0,5.0
Arizona State,9,South,Pac-12,1453.6786626781075,68.00088369901295,0.05997834116958083,2.0,2.0
Arkansas,8,West,SEC,1747.4522742356073,68.03018428367659,0.05996560237731312,3.0,7.0
Arkansas State,2032,,Sun Belt,1082.577554854178,76.29620184177311,0.06014347499678966,4.0,7.0
Army,349,,FBS Independents,1527.6566187309636,74.41905915202393,0.0599666122172413,9.0,3.0
Auburn,2,West,SEC,1935.4052924848636,69.39331135731695,0.05998944320362383,6.0,5.0
Ball State,2050,West,Mid-American,2032.4216040762713,77.31800085735242,0.06002153568395618,7.0,1.0
Baylor,239,,Big 12,1402.4902232911468,78.90546600887437,0.05997991722053614,2.0,7.0
Boise State,68,Mountain,Mountain West,1698.4275407445045,78.49190281252909,0.05994875263996177,5.0,2.0
Boston College,103,Atlantic,ACC,1516.9496041873622,71.22547400716306,0.05994318350067123,6.0,5.0
Bowling Green,189,East,Mid-American,118.07107273372685,111.67015666885129,0.05998904457163071,0.0,5.0
Buffalo,2084,East,Mid-American,1916.0462950166389,79.11039202119498,0.05997058984425589,6.0,1.0
BYU,252,,FBS Independents,2021.9059763338466,94.08534358763012,0.05996031133882055,11.0,1.0
California,25,North,Pac-12,1371.9421756007964,66.78191570496747,0.06003959337016958,1.0,3.0
Central Michigan,2117,West,Mid-American,1145.2096246831036,69.43716891012151,0.0599533122199734,3.0,3.0
Charlotte,2429,East,Conference USA,876.8197499706285,68.04557791395086,0.059951760040594736,2.0,4.0
Cincinnati,2132,East,American Athletic,2064.0306605325973,89.32491930341172,0.05995638934760701,9.0,1.0
Clemson,228,Atlantic,ACC,2287.9299111110495,85.32697634385997,0.059977285649166594,10.0,2.0
Coastal Carolina,324,,Sun Belt,2167.6143131572558,87.70319189992078,0.06002034718862132,11.0,1.0
Colorado,38,South,Pac-12,1747.5567878158458,66.95045944954542,0.059963236143055855,4.0,2.0
Colorado State,36,Mountain,Mountain West,1046.027081625888,69.09863842418387,0.05998339663299531,1.0,3.0
Connecticut,41,East,American Athletic,844.8925822760862,184.338086739183,0.05999916190967484,0.0,0.0
Duke,150,Coastal,ACC,1057.788917053164,76.300568898329,0.059932037200065194,2.0,9.0
East Carolina,151,East,American Athletic,1179.9373957325774,73.87194600152132,0.06000003848767385,3.0,6.0
Eastern Michigan,2199,West,Mid-American,1087.7980864352648,72.66079009749272,0.06000790849590534,2.0,4.0
Florida,57,East,SEC,2072.56381514854,75.27625880076516,0.06001191055408521,8.0,4.0
Florida Atlantic,2226,East,Conference USA,1130.5827507628496,70.84111984088634,0.06001052364112477,5.0,4.0
Florida International,2229,East,Conference USA,317.6313397969884,110.91882881604741,0.0599842134399041,0.0,5.0
Florida State,52,Atlantic,ACC,1278.9247679957152,71.97577238295307,0.06002947082364478,3.0,6.0
Fresno State,278,West,Mountain West,1117.3577212876141,67.59198218729215,0.0599665269280516,3.0,3.0
Georgia,61,East,SEC,2235.83426781199,79.05075365329151,0.059982418014388306,8.0,2.0
Georgia Southern,290,,Sun Belt,1382.7177430920724,71.8130624255306,0.05991934951609441,8.0,5.0
Georgia State,2247,,Sun Belt,1427.9193213780989,72.54350410630038,0.05998750071364667,6.0,4.0
Georgia Tech,59,Coastal,ACC,1252.2177077980887,71.20585144422063,0.06000446321664158,3.0,7.0
Hawai'i,62,West,Mountain West,1403.7694644782225,70.98402359916908,0.06004732242881096,5.0,4.0
Houston,248,West,American Athletic,1304.2138149413418,69.07900106191214,0.05995924396269799,3.0,5.0
Illinois,356,West,Big Ten,1390.628608570899,67.07171586437818,0.05998445726558744,2.0,6.0
Indiana,84,East,Big Ten,1925.7735322343524,74.63009331329236,0.05998188135513858,6.0,2.0
Iowa,2294,West,Big Ten,1830.1878940395077,69.58749945942364,0.06000235001952088,6.0,2.0
Iowa State,66,,Big 12,2052.300870573633,70.35535617880663,0.0599571168579887,9.0,3.0
Kansas,2305,,Big 12,630.4998657812807,160.58835198243773,0.05999314273197949,0.0,9.0
Kansas State,2306,,Big 12,1537.1132490254881,73.27120044405794,0.060198400718104846,4.0,6.0
Kent State,2309,East,Mid-American,1435.6310234629327,91.13552198588313,0.05997994764842226,3.0,1.0
Kentucky,96,East,SEC,1765.974649419208,68.62254665601436,0.05994234443796903,5.0,6.0
Liberty,2335,,FBS Independents,1988.5237778614235,97.51935163170289,0.06006555028930088,10.0,1.0
Louisiana,309,,Sun Belt,2134.648936003233,90.63476607708591,0.05997852017301854,10.0,1.0
Louisiana Monroe,2433,,Sun Belt,51.55551395072371,138.21974617490602,0.0599861863747895,0.0,10.0
Louisiana Tech,2348,West,Conference USA,1237.7980424534576,72.95156751739792,0.0599859467155408,5.0,5.0
Louisville,97,Atlantic,ACC,1328.3787540732,67.81799412295841,0.05995917903512455,4.0,7.0
LSU,99,West,SEC,1874.7146675041683,69.54677183404709,0.06005577179158113,5.0,5.0
Marshall,276,East,Conference USA,1389.0817222590879,74.75441883014778,0.06005288000137119,7.0,3.0
Maryland,120,East,Big Ten,1572.583930301201,65.96406299858053,0.060011188496331164,2.0,3.0
Memphis,235,West,American Athletic,1491.8168605425865,72.93683852052145,0.059990389802947214,8.0,3.0
Miami,2390,Coastal,ACC,1814.7766077031376,71.03336348875145,0.059932379796879896,8.0,3.0
Miami (OH),193,East,Mid-American,1867.5392359708562,69.6555095267545,0.06002642748438642,2.0,1.0
Michigan,130,East,Big Ten,1459.2683243278952,64.00924953861582,0.05996887776740004,2.0,4.0
Michigan State,127,East,Big Ten,1538.0830482576418,69.78692370763558,0.060068554802723405,2.0,5.0
Middle Tennessee,2393,East,Conference USA,977.7157263539625,68.83442300858907,0.06000758337712417,3.0,6.0
Minnesota,135,West,Big Ten,1504.3744335929484,62.67119210366109,0.05996054420538699,3.0,4.0
Mississippi State,344,West,SEC,1739.2379923490107,68.25230312039285,0.060023832177452746,4.0,7.0
Missouri,142,East,SEC,1785.397194161491,68.48610321597069,0.060021124546464015,5.0,5.0
Navy,2426,West,American Athletic,1214.7601742623228,69.15439663057782,0.059944217643361525,3.0,7.0
NC State,152,Atlantic,ACC,1696.0135770245192,68.72133946452053,0.0599840992616101,8.0,4.0
Nebraska,158,West,Big Ten,1511.318002427597,65.74673673227147,0.06000185768921533,3.0,5.0
Nevada,2440,West,Mountain West,1562.625837460599,74.94852433401539,0.0599780628874456,7.0,2.0
New Mexico,167,Mountain,Mountain West,1100.134061315888,67.69866515955643,0.059986756305472906,2.0,5.0
New Mexico State,166,,FBS Independents,790.134543913844,192.18122284289757,0.05999916713634102,0.0,0.0
North Carolina,153,Coastal,ACC,1757.5683402736468,74.99819724656345,0.06007921912230828,8.0,4.0
Northern Illinois,2459,West,Mid-American,396.6162359898135,129.29092532403362,0.05998761409717608,0.0,6.0
North Texas,249,West,Conference USA,920.4425975765552,70.47130319668595,0.059979818984266874,4.0,6.0
