id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index,highlights,notes
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,False,False,True,,3832,Memorial Stadium,356,Illinois,Big Ten,30.0,2.0,14.0,14.0,0.0,0.444630507531653,158,Nebraska,Big Ten,22.0,0.0,9.0,7.0,6.0,0.555369492468347,5.4866416756,,
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,False,False,False,,3660,Bulldog Stadium,278,Fresno State,Mountain West,45.0,7.0,24.0,7.0,7.0,0.9989676192140482,41,Connecticut,American Athletic,0.0,0.0,0.0,0.0,0.0,0.0010323807859518,1.5355562765,,
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,False,False,False,,1056,Rose Bowl,26,UCLA,Pac-12,44.0,24.0,7.0,13.0,0.0,0.9989161521871656,62,Hawai'i,Mountain West,10.0,3.0,0.0,7.0,0.0,0.0010838478128344,1.3906628857,,
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,False,False,False,,3601,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,3.0,0.0,3.0,0.0,0.0,0.0003672266073629,2638,UTEP,Conference USA,30.0,17.0,3.0,10.0,0.0,0.9996327733926372,1.7024199439,,
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,False,False,False,,3935,Spartan Stadium,23,San José State,Mountain West,45.0,21.0,17.0,7.0,0.0,,253,Southern Utah,,14.0,0.0,14.0,0.0,0.0,,,,
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,False,True,False,,3689,Cramton Bowl,55,Jacksonville State,,0.0,0.0,0.0,0.0,0.0,0.0003023172538635,5,UAB,Conference USA,31.0,0.0,10.0,14.0,7.0,0.9996976827461364,2.1316123178,,Montgomery Kickoff
401282051,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,False,,218,FIU Stadium,2229,Florida International,Conference USA,54.0,21.0,7.0,10.0,16.0,,112358,Long Island University,,10.0,0.0,10.0,0.0,0.0,,1.825485544,,
401328545,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,False,,3654,Brooks Stadium,324,Coastal Carolina,Sun Belt,52.0,7.0,24.0,14.0,7.0,,2643,The Citadel,,14.0,0.0,0.0,7.0,7.0,,,,
401300995,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,False,,3652,Bright House Networks Stadium,2116,UCF,American Athletic,36.0,0.0,14.0,14.0,8.0,0.813214135818922,68,Boise State,Mountain West,31.0,14.0,10.0,0.0,7.0,0.186785864181078,9.6932369619,,
401309542,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,False,,3965,UB Stadium,2084,Buffalo,Mid-American,69.0,14.0,24.0,21.0,10.0,0.99897084974525,2681,Wagner,,7.0,0.0,0.0,0.0,7.0,0.00102915025475,1.1537534212,,
