school,id,division,conference,rating,rd,volatility,wins,losses
Air Force,2005,Mountain,Mountain West,1651.1207701975002,70.41342471896859,0.05993892675646826,10.0,3.0
Akron,2006,East,Mid-American,686.6121915682958,82.44230563109153,0.05998774368858118,2.0,10.0
Alabama,333,West,SEC,2448.8550298667087,89.19631995916576,0.060063120179998195,13.0,1.0
Appalachian State,2026,,Sun Belt,1517.6809474952822,71.79136957925955,0.05993551946018539,10.0,4.0
Arizona,12,South,Pac-12,934.4158768840912,83.08055090698981,0.06000243369375244,1.0,11.0
Arizona State,9,South,Pac-12,1426.477993727569,68.84436130446706,0.059939778255944466,8.0,5.0
Arkansas,8,West,SEC,1897.899610225708,73.12402388355765,0.05995356137119246,9.0,4.0
Arkansas State,2032,,Sun Belt,722.239689906009,82.32378521408694,0.06000384970786323,2.0,10.0
Army,349,,FBS Independents,1548.1446656859393,69.83384128593585,0.06004281399036607,9.0,4.0
Auburn,2,West,SEC,1660.3893162345223,69.2218988512996,0.060084506985905194,6.0,7.0
Ball State,2050,West,Mid-American,1203.802143233253,67.12789924885725,0.06004935496784373,6.0,7.0
Baylor,239,,Big 12,2082.2021300639335,74.95186661708337,0.06004005131760779,11.0,2.0
Boise State,68,Mountain,Mountain West,1602.9399256349914,68.3111712297319,0.06003634461787338,7.0,5.0
Boston College,103,Atlantic,ACC,1358.5763316461973,67.94780505955373,0.05994978368321322,6.0,6.0
Bowling Green,189,East,Mid-American,924.7438817984196,70.08382582235727,0.060094549059386146,4.0,8.0
Buffalo,2084,East,Mid-American,921.7275668874951,70.30578292505889,0.05995034015117603,4.0,8.0
BYU,252,,FBS Independents,1689.114488730463,73.93490691268482,0.06002070751516657,10.0,3.0
California,25,North,Pac-12,1207.4131202590754,66.70329699345555,0.06004419392240328,5.0,7.0
Central Michigan,2117,West,Mid-American,1427.4581051827101,66.28989363780582,0.059968211943850394,9.0,4.0
Charlotte,2429,East,Conference USA,939.7321751596522,68.70920345455487,0.06000397853715017,5.0,7.0
Cincinnati,2132,East,American Athletic,2340.2789993299684,95.30634325841523,0.05997498855509734,13.0,1.0
Clemson,228,Atlantic,ACC,1837.8545708695933,72.39852971379602,0.05995981149995564,10.0,3.0
Coastal Carolina,324,,Sun Belt,1440.7565742769973,76.13482074815201,0.05995363183253064,11.0,2.0
Colorado,38,South,Pac-12,1185.748816225786,70.82448749256703,0.0599821198922825,4.0,8.0
Colorado State,36,Mountain,Mountain West,1062.8948862933457,70.99585952603377,0.05999463301721432,3.0,9.0
Connecticut,41,East,American Athletic,-127.03048791782476,118.56093328333714,0.059981810627505086,1.0,11.0
Duke,150,Coastal,ACC,1004.5715183183876,76.15326655555975,0.059981073267364786,3.0,9.0
East Carolina,151,East,American Athletic,1469.02325517691,70.36358062717358,0.059920450122438594,7.0,5.0
Eastern Michigan,2199,West,Mid-American,1183.5109519839204,67.15074475436735,0.06001509493721937,7.0,6.0
Florida,57,East,SEC,1411.2452203471664,70.34721587278398,0.05997614504900559,6.0,7.0
Florida Atlantic,2226,East,Conference USA,1004.3915956770124,69.36981733084833,0.05995211833083357,5.0,7.0
Florida International,2229,East,Conference USA,96.37241207130455,137.89682125612075,0.05998944341673529,1.0,11.0
Florida State,52,Atlantic,ACC,1452.1373419613358,65.88265783628287,0.05999044673369691,5.0,7.0
Fresno State,278,West,Mountain West,1607.6006129005393,73.07324177806373,0.06006289780512868,10.0,3.0
Georgia,61,East,SEC,2360.3913037371285,91.03634441666489,0.0599613871646539,13.0,1.0
Georgia Southern,290,,Sun Belt,855.5592103083846,76.37256682905462,0.05996316063336937,3.0,9.0
Georgia State,2247,,Sun Belt,1405.86894501747,70.55143582818366,0.05991047546031512,8.0,5.0
Georgia Tech,59,Coastal,ACC,1179.7096217916271,75.95756742757281,0.059975845060618,3.0,9.0
Hawai'i,62,West,Mountain West,1206.1608343681478,71.06217814401928,0.06005251475553235,6.0,7.0
Houston,248,West,American Athletic,1873.8014784687784,84.31382059126462,0.05997031351384059,12.0,2.0
Illinois,356,West,Big Ten,1486.9926324390353,69.72661138434276,0.06003736657803552,5.0,7.0
Indiana,84,East,Big Ten,1261.657106004252,84.596131686647,0.059986888243911414,2.0,10.0
Iowa,2294,West,Big Ten,1875.854823878356,71.81721811659267,0.05993460245911535,10.0,3.0
Iowa State,66,,Big 12,1699.1681081931604,67.68696637209395,0.06002353192274897,7.0,6.0
Kansas,2305,,Big 12,1103.2770108181126,90.26148706926737,0.06006041126180418,2.0,10.0
Kansas State,2306,,Big 12,1673.282650772906,68.63796879859866,0.05994618840510007,7.0,5.0
Kent State,2309,East,Mid-American,1241.0698957500017,68.53841617107055,0.059931853081917785,7.0,7.0
Kentucky,96,East,SEC,1717.5321686873388,72.5934524028202,0.059969112590532524,9.0,3.0
Liberty,2335,,FBS Independents,1347.8365765824192,71.76038695897472,0.060011139157298304,8.0,5.0
Louisiana,309,,Sun Belt,1791.1913657174487,87.54634901421059,0.05999707449374544,13.0,1.0
Louisiana Monroe,2433,,Sun Belt,1016.2775460691258,75.62846610881641,0.06010779312702577,4.0,8.0
Louisiana Tech,2348,West,Conference USA,827.5734315640663,74.33189896446461,0.06005054002852899,3.0,9.0
Louisville,97,Atlantic,ACC,1487.2160563153843,66.57948739930116,0.059909218647618744,6.0,7.0
LSU,99,West,SEC,1638.1276882621135,69.03205442475013,0.059983899415751794,6.0,6.0
Marshall,276,East,Conference USA,1234.9746666377685,69.42445179247567,0.059948979436811906,7.0,6.0
Maryland,120,East,Big Ten,1643.6729800368032,69.86251379930273,0.05988991081243827,7.0,6.0
Memphis,235,West,American Athletic,1387.6304193153253,69.60750732870258,0.06009915320915627,6.0,6.0
Miami,2390,Coastal,ACC,1590.8130067789482,70.2523142097861,0.06010087254374395,7.0,5.0
Miami (OH),193,East,Mid-American,1215.3610595239857,69.41019028267826,0.06005086437657293,7.0,6.0
Michigan,130,East,Big Ten,2147.7680734853025,79.00958477675243,0.05995613392998267,12.0,2.0
Michigan State,127,East,Big Ten,2038.5430401021595,76.3000114773261,0.0600072903705483,11.0,2.0
Middle Tennessee,2393,East,Conference USA,1103.4907930791044,70.21562818523974,0.060007989825035045,7.0,6.0
Minnesota,135,West,Big Ten,1751.0555385387781,71.3955868755228,0.06012798302610296,9.0,4.0
Mississippi State,344,West,SEC,1670.4124690402587,68.64692087872645,0.06008070851308366,7.0,6.0
Missouri,142,East,SEC,1456.0709764413452,68.70500371068519,0.05995678229928398,6.0,7.0
Navy,2426,West,American Athletic,1406.7799770063916,68.73817097803719,0.06006950564785316,4.0,8.0
NC State,152,Atlantic,ACC,1694.1435064565283,69.08535592552063,0.0599954961845381,9.0,3.0
Nebraska,158,West,Big Ten,1251.642838714605,88.41530682601305,0.059945543636661665,3.0,9.0
Nevada,2440,West,Mountain West,1427.754438771942,69.74201365191281,0.0599437527084545,8.0,5.0
New Mexico,167,Mountain,Mountain West,932.34093650639,81.41916089417201,0.06001670528871051,3.0,9.0
New Mexico State,166,,FBS Independents,521.750800768882,103.49542640199999,0.05996396960214135,2.0,10.0
North Carolina,153,Coastal,ACC,1441.4196028059835,68.19285660562248,0.06011298283863352,6.0,7.0
