team,rating,rd,volatility,wins,losses,ties
Kansas City Chiefs,1922.2975584204892,72.25541222244651,0.060055210809115384,16.0,3.0,0.0
Las Vegas Raiders,1565.929474345197,64.79647955451429,0.060098390890340705,8.0,8.0,0.0
Buffalo Bills,1858.1310128855332,68.89494952103666,0.0599563539231323,15.0,4.0,0.0
Seattle Seahawks,1646.5924535393299,65.24755928248752,0.05996863850971788,12.0,5.0,0.0
Chicago Bears,1463.4905330009958,65.082112122702,0.05995954723686442,8.0,9.0,0.0
New England Patriots,1500.5264256480073,64.93720053988494,0.060068879304522996,7.0,9.0,0.0
Green Bay Packers,1743.9626378944195,68.80652107866734,0.05996142164654847,14.0,4.0,0.0
Baltimore Ravens,1675.9334688572108,66.33669091278846,0.05992999033297514,12.0,6.0,0.0
Washington Football Team,1408.0079142817233,63.350411421885376,0.05999981787681047,7.0,10.0,0.0
Jacksonville Jaguars,958.3448818976815,88.75446438122934,0.06002386122202629,1.0,15.0,0.0
Los Angeles Chargers,1511.8380597801877,66.05588301910375,0.060027892791167464,7.0,9.0,0.0
New Orleans Saints,1735.5003302074397,68.74392208816947,0.060010740717197135,13.0,5.0,0.0
Arizona Cardinals,1476.4224678422174,62.819001347230355,0.06006894104866618,8.0,8.0,0.0
Los Angeles Rams,1618.4843033639117,63.92289177534928,0.060090086102478846,11.0,7.0,0.0
Pittsburgh Steelers,1649.367568287501,66.18541120804392,0.06006718551225653,12.0,5.0,0.0
Tennessee Titans,1614.5955618622784,65.95103520714223,0.060035549141033706,11.0,6.0,0.0
Cleveland Browns,1650.6006496629132,66.15227868652094,0.059999944832481895,12.0,6.0,0.0
Indianapolis Colts,1620.2659552101318,66.28343005892177,0.06000182345635136,11.0,6.0,0.0
Tampa Bay Buccaneers,1832.84317405284,68.61959834379047,0.06003372175695231,15.0,5.0,0.0
Dallas Cowboys,1366.3491806170318,62.75533770406603,0.059951642295632844,6.0,10.0,0.0
San Francisco 49ers,1432.0107409042353,64.39064861544283,0.06005947553281793,6.0,10.0,0.0
Miami Dolphins,1637.9606757197232,66.21071810799924,0.05993984268719185,10.0,6.0,0.0
Philadelphia Eagles,1315.8765383132777,65.66864322246374,0.059996268334725794,4.0,11.0,1.0
Carolina Panthers,1381.4913925636681,65.78697693305588,0.05996235561200093,5.0,11.0,0.0
Detroit Lions,1311.734988872333,66.4034151613254,0.05998351358020588,5.0,11.0,0.0
Denver Broncos,1429.7021393370835,66.19099517758467,0.059976113304668954,5.0,11.0,0.0
Minnesota Vikings,1436.95692265856,65.20806028216292,0.05999568268534853,7.0,9.0,0.0
Cincinnati Bengals,1314.4272224351266,67.85345589096427,0.06000496798101975,4.0,11.0,1.0
Houston Texans,1254.4915860068718,70.5984007356544,0.05994326198525598,4.0,12.0,0.0
New York Giants,1404.6536079473885,63.430329080867104,0.05997644111524917,6.0,10.0,0.0
Atlanta Falcons,1350.5075203011208,68.45084261467625,0.06002313968336372,4.0,12.0,0.0
New York Jets,1248.5052884387785,75.47260682589784,0.06004183949769216,2.0,14.0,0.0
